Gene	Dog_P10	Dog_P11	Dog_P12	Dog_P13	Dog_P14	Dog_P18	Dog_P20	Dog_P2	Dog_P4	Dog_P9	Wolf_P10	Wolf_P11	Wolf_P15	Wolf_P1	Wolf_P2	Wolf_P3	Wolf_P4	Wolf_P8
ENSCAFG00000001851	24	125	74	90	95	290	97	196	166	122	98	141	50	122	121	129	86	280
ENSCAFG00000028653_ENSCAFG00000032286_ENSCAFG00000031239_ENSCAFG00000030588_ENSCAFG00000032684	1054041	1020731	509863	1109308	796234	362985	1107741	870729	1640535	852734	39259	35573	145220	25924	72945	65976	83751	40211
