Gene	Dog_M10	Dog_M2	Dog_M3	Dog_MT2	Dog_MT3	Dog_MT4	Dog_MT5	Dog_MT6	Dog_MT8	Dog_MT9	Wolf_M2	Wolf_M3	Wolf_M5	Wolf_M6	Wolf_M7	Wolf_MT1	Wolf_MT2	Wolf_MT3	Wolf_MT4	Wolf_MT5	Wolf_MT6	Wolf_MT7
ENSCAFG00000001851	199	172	238	268	186	118	256	81	125	44	23	315	167	108	200	89	67	266	154	208	55	171
ENSCAFG00000028653_ENSCAFG00000032286_ENSCAFG00000031239_ENSCAFG00000030588_ENSCAFG00000032684	185	182	195	248	325	213	1584	135	380	92	25	96	88	3	52	28	37	50	41	59	30	44
